"Index ","Pathogen Name ","Disease",Export%20to%20XML
"80","Erysipelothrix rhusiopathiae","Erysipelas","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=152"
"81","Escherichia coli","Hemorrhagic colitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=25"
"82","Experimental autoimmune encephalomyelitis","Experimental autoimmune encephalomyelitis (EAE)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=235"
"83","Experimental autoimmune uveitis","Experimental autoimmune uveitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=236"
"84","Feline calicivirus","Feline Respiratory Infections","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=153"
"85","Feline herpesvirus 1","Feline viral rhinotracheitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=156"
"86","Feline immunodeficiency virus","Feline AIDS","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=154"
"87","Feline infectious peritonitis virus","Feline infectious peritonitis (FIP)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=175"
"88","Feline leukemia virus","Feline leukemia virus infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=71"
"89","Feline panleukopenia virus","Feline Distemper","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=155"
"90","Flavobacterium columnare","Columnaris","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=158"
"91","Foot-and-mouth disease virus","Foot-and-mouth disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=206"
"92","Fowlpox virus","Fowlpox","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=176"
"93","Francisella tularensis","Tularemia ","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=12"
"94","Gallid herpesvirus 1","Avian infectious laryngotracheitis, Fowl Laryngotracheitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=157"
"95","Giardia duodenalis","Giardiasis (Beaver fever)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=94"
"96","Haemophilus influenzae","Meningitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=31"
"97"," parasuis","Glasser's disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=178"
"98"," somnus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=194"
"99","Hantavirus","Hantavirus Pulmonary Syndrome","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=27"
"100","Helicobacter pylori","Ulcers","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=134"
"101","Hendra virus","Hendra virus disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=125"
"102","Hepatitis A virus","Hepatitis A","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=48"
"103","Hepatitis B virus","Hepatitis B","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=49"
"104","Hepatitis C virus","Hepatitis C","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=233"
"105","Hepatitis D virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=255"
"106","Hepatitis E virus","Hepatitis E","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=232"
"107","Herpes simplex virus type 1 and 2","Herpes","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=100"
"108","Hirame rhabdovirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=239"
"109","Human coxsackievirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=234"
