recId,taxon_id,common_name,scientific_name
51,9103,Turkey,Meleagris%20gallopavo
51,79684,Vole,Microtus%20ochrogaster
51,391902,Water%20buffalo,Bubalus%20bubalis
8,9556,Baboon,Papio%20cynocephalus
8,447135,Bank%20vole,Clethrionomys%20glareolus
8,9643,Bear,Ursus%20americanus
8,175121,Birds,Passeroidea
8,8032,Brown%20Trout,Salmo%20trutta
8,9901,Buffalo,Bison%20bison
8,9625,Carnivores,Vulpes
8,9685,Cat,Felis%20catus
8,7995,Catfishes,Siluriformes
8,9913,Cattle,Bos%20taurus
8,9031,Chicken,Gallus%20gallus
8,9598,Chimpanzee,Pan%20troglodytes
8,10150,chinchillas,Chinchillidae
8,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
8,9860,Deer,Cervus%20elaphus
8,10042,Deer%20mouse,Peromyscus%20maniculatus
8,9615,Dog,Canis%20familiaris
8,8835,Ducks,Anas
8,9669,Ferret,Mustela%20putorius%20furo
8,117565,Fish,Hyperotreti
8,10045,Gerbil,Gerbillina
8,9925,Goat,Capra%20hircus
8,9612,Gray%20wolf,Canis%20lupus
8,10141,Guinea%20pig,Cavia%20porcellus
8,10036,Hamster,Mesocricetus%20auratus
8,9796,Horse,Equus%20caballus
8,9606,Human,Homo%20sapiens
8,9541,Macaque,Macaca%20fascicularis
8,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
8,9479,Monkey,Platyrrhini
8,10090,Mouse,Mus%20musculus
8,,None,None
8,9224,Parrot,Psittacidae
8,9823,Pig,Sus%20scrofa
8,9986,Rabbit,Oryctolagus%20cuniculus
8,8022,Rainbow%20trout,Oncorhynchus%20mykiss
8,10114,Rat,Rattus
8,56781,Raven,Corvus%20corax
8,9768,sei%20whale,Balaenoptera%20borealis
8,9940,Sheep,Ovis%20aries
8,37591,Squirrel,Spermophilus%20richardsonii
8,9393,Tree%20shrew,Tupaiidae
8,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
8,9103,Turkey,Meleagris%20gallopavo
8,79684,Vole,Microtus%20ochrogaster
8,391902,Water%20buffalo,Bubalus%20bubalis
