recId,taxon_id,common_name,scientific_name
5,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
5,9103,Turkey,Meleagris%20gallopavo
5,79684,Vole,Microtus%20ochrogaster
5,391902,Water%20buffalo,Bubalus%20bubalis
3,9556,Baboon,Papio%20cynocephalus
3,447135,Bank%20vole,Clethrionomys%20glareolus
3,9643,Bear,Ursus%20americanus
3,175121,Birds,Passeroidea
3,8032,Brown%20Trout,Salmo%20trutta
3,9901,Buffalo,Bison%20bison
3,9625,Carnivores,Vulpes
3,9685,Cat,Felis%20catus
3,7995,Catfishes,Siluriformes
3,9913,Cattle,Bos%20taurus
3,9031,Chicken,Gallus%20gallus
3,9598,Chimpanzee,Pan%20troglodytes
3,10150,chinchillas,Chinchillidae
3,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
3,9860,Deer,Cervus%20elaphus
3,10042,Deer%20mouse,Peromyscus%20maniculatus
3,9615,Dog,Canis%20familiaris
3,8835,Ducks,Anas
3,9669,Ferret,Mustela%20putorius%20furo
3,117565,Fish,Hyperotreti
3,10045,Gerbil,Gerbillina
3,9925,Goat,Capra%20hircus
3,9612,Gray%20wolf,Canis%20lupus
3,10141,Guinea%20pig,Cavia%20porcellus
3,10036,Hamster,Mesocricetus%20auratus
3,9796,Horse,Equus%20caballus
3,9606,Human,Homo%20sapiens
3,9541,Macaque,Macaca%20fascicularis
3,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
3,9479,Monkey,Platyrrhini
3,10090,Mouse,Mus%20musculus
3,,None,None
3,9224,Parrot,Psittacidae
3,9823,Pig,Sus%20scrofa
3,9986,Rabbit,Oryctolagus%20cuniculus
3,8022,Rainbow%20trout,Oncorhynchus%20mykiss
3,10114,Rat,Rattus
3,56781,Raven,Corvus%20corax
3,9768,sei%20whale,Balaenoptera%20borealis
3,9940,Sheep,Ovis%20aries
3,37591,Squirrel,Spermophilus%20richardsonii
3,9393,Tree%20shrew,Tupaiidae
3,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
3,9103,Turkey,Meleagris%20gallopavo
3,79684,Vole,Microtus%20ochrogaster
3,391902,Water%20buffalo,Bubalus%20bubalis
46,9556,Baboon,Papio%20cynocephalus
46,447135,Bank%20vole,Clethrionomys%20glareolus
46,9643,Bear,Ursus%20americanus
46,175121,Birds,Passeroidea
46,8032,Brown%20Trout,Salmo%20trutta
46,9901,Buffalo,Bison%20bison
46,9625,Carnivores,Vulpes
46,9685,Cat,Felis%20catus
46,7995,Catfishes,Siluriformes
46,9913,Cattle,Bos%20taurus
46,9031,Chicken,Gallus%20gallus
46,9598,Chimpanzee,Pan%20troglodytes
46,10150,chinchillas,Chinchillidae
46,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
46,9860,Deer,Cervus%20elaphus
46,10042,Deer%20mouse,Peromyscus%20maniculatus
46,9615,Dog,Canis%20familiaris
46,8835,Ducks,Anas
46,9669,Ferret,Mustela%20putorius%20furo
46,117565,Fish,Hyperotreti
46,10045,Gerbil,Gerbillina
46,9925,Goat,Capra%20hircus
46,9612,Gray%20wolf,Canis%20lupus
46,10141,Guinea%20pig,Cavia%20porcellus
46,10036,Hamster,Mesocricetus%20auratus
46,9796,Horse,Equus%20caballus
46,9606,Human,Homo%20sapiens
46,9541,Macaque,Macaca%20fascicularis
46,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
46,9479,Monkey,Platyrrhini
46,10090,Mouse,Mus%20musculus
46,,None,None
46,9224,Parrot,Psittacidae
46,9823,Pig,Sus%20scrofa
46,9986,Rabbit,Oryctolagus%20cuniculus
46,8022,Rainbow%20trout,Oncorhynchus%20mykiss
46,10114,Rat,Rattus
46,56781,Raven,Corvus%20corax
46,9768,sei%20whale,Balaenoptera%20borealis
46,9940,Sheep,Ovis%20aries
46,37591,Squirrel,Spermophilus%20richardsonii
46,9393,Tree%20shrew,Tupaiidae
46,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
46,9103,Turkey,Meleagris%20gallopavo
46,79684,Vole,Microtus%20ochrogaster
46,391902,Water%20buffalo,Bubalus%20bubalis
12,9556,Baboon,Papio%20cynocephalus
12,447135,Bank%20vole,Clethrionomys%20glareolus
12,9643,Bear,Ursus%20americanus
12,175121,Birds,Passeroidea
12,8032,Brown%20Trout,Salmo%20trutta
12,9901,Buffalo,Bison%20bison
12,9625,Carnivores,Vulpes
12,9685,Cat,Felis%20catus
12,7995,Catfishes,Siluriformes
12,9913,Cattle,Bos%20taurus
12,9031,Chicken,Gallus%20gallus
12,9598,Chimpanzee,Pan%20troglodytes
12,10150,chinchillas,Chinchillidae
12,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
12,9860,Deer,Cervus%20elaphus
12,10042,Deer%20mouse,Peromyscus%20maniculatus
12,9615,Dog,Canis%20familiaris
12,8835,Ducks,Anas
12,9669,Ferret,Mustela%20putorius%20furo
12,117565,Fish,Hyperotreti
12,10045,Gerbil,Gerbillina
12,9925,Goat,Capra%20hircus
12,9612,Gray%20wolf,Canis%20lupus
12,10141,Guinea%20pig,Cavia%20porcellus
12,10036,Hamster,Mesocricetus%20auratus
12,9796,Horse,Equus%20caballus
12,9606,Human,Homo%20sapiens
12,9541,Macaque,Macaca%20fascicularis
12,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
12,9479,Monkey,Platyrrhini
12,10090,Mouse,Mus%20musculus
12,,None,None
12,9224,Parrot,Psittacidae
12,9823,Pig,Sus%20scrofa
12,9986,Rabbit,Oryctolagus%20cuniculus
12,8022,Rainbow%20trout,Oncorhynchus%20mykiss
12,10114,Rat,Rattus
12,56781,Raven,Corvus%20corax
12,9768,sei%20whale,Balaenoptera%20borealis
12,9940,Sheep,Ovis%20aries
12,37591,Squirrel,Spermophilus%20richardsonii
12,9393,Tree%20shrew,Tupaiidae
12,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
12,9103,Turkey,Meleagris%20gallopavo
12,79684,Vole,Microtus%20ochrogaster
12,391902,Water%20buffalo,Bubalus%20bubalis
62,9556,Baboon,Papio%20cynocephalus
62,447135,Bank%20vole,Clethrionomys%20glareolus
62,9643,Bear,Ursus%20americanus
62,175121,Birds,Passeroidea
62,8032,Brown%20Trout,Salmo%20trutta
62,9901,Buffalo,Bison%20bison
62,9625,Carnivores,Vulpes
62,9685,Cat,Felis%20catus
62,7995,Catfishes,Siluriformes
62,9913,Cattle,Bos%20taurus
62,9031,Chicken,Gallus%20gallus
62,9598,Chimpanzee,Pan%20troglodytes
62,10150,chinchillas,Chinchillidae
62,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
62,9860,Deer,Cervus%20elaphus
62,10042,Deer%20mouse,Peromyscus%20maniculatus
62,9615,Dog,Canis%20familiaris
62,8835,Ducks,Anas
62,9669,Ferret,Mustela%20putorius%20furo
62,117565,Fish,Hyperotreti
62,10045,Gerbil,Gerbillina
62,9925,Goat,Capra%20hircus
62,9612,Gray%20wolf,Canis%20lupus
62,10141,Guinea%20pig,Cavia%20porcellus
62,10036,Hamster,Mesocricetus%20auratus
62,9796,Horse,Equus%20caballus
62,9606,Human,Homo%20sapiens
62,9541,Macaque,Macaca%20fascicularis
62,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
62,9479,Monkey,Platyrrhini
62,10090,Mouse,Mus%20musculus
62,,None,None
62,9224,Parrot,Psittacidae
62,9823,Pig,Sus%20scrofa
62,9986,Rabbit,Oryctolagus%20cuniculus
62,8022,Rainbow%20trout,Oncorhynchus%20mykiss
62,10114,Rat,Rattus
62,56781,Raven,Corvus%20corax
62,9768,sei%20whale,Balaenoptera%20borealis
62,9940,Sheep,Ovis%20aries
62,37591,Squirrel,Spermophilus%20richardsonii
62,9393,Tree%20shrew,Tupaiidae
62,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
62,9103,Turkey,Meleagris%20gallopavo
62,79684,Vole,Microtus%20ochrogaster
62,391902,Water%20buffalo,Bubalus%20bubalis
61,9556,Baboon,Papio%20cynocephalus
61,447135,Bank%20vole,Clethrionomys%20glareolus
61,9643,Bear,Ursus%20americanus
61,175121,Birds,Passeroidea
61,8032,Brown%20Trout,Salmo%20trutta
61,9901,Buffalo,Bison%20bison
61,9625,Carnivores,Vulpes
61,9685,Cat,Felis%20catus
61,7995,Catfishes,Siluriformes
61,9913,Cattle,Bos%20taurus
61,9031,Chicken,Gallus%20gallus
61,9598,Chimpanzee,Pan%20troglodytes
61,10150,chinchillas,Chinchillidae
61,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
61,9860,Deer,Cervus%20elaphus
61,10042,Deer%20mouse,Peromyscus%20maniculatus
61,9615,Dog,Canis%20familiaris
61,8835,Ducks,Anas
61,9669,Ferret,Mustela%20putorius%20furo
61,117565,Fish,Hyperotreti
61,10045,Gerbil,Gerbillina
61,9925,Goat,Capra%20hircus
61,9612,Gray%20wolf,Canis%20lupus
61,10141,Guinea%20pig,Cavia%20porcellus
61,10036,Hamster,Mesocricetus%20auratus
61,9796,Horse,Equus%20caballus
61,9606,Human,Homo%20sapiens
61,9541,Macaque,Macaca%20fascicularis
61,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
61,9479,Monkey,Platyrrhini
61,10090,Mouse,Mus%20musculus
61,,None,None
61,9224,Parrot,Psittacidae
61,9823,Pig,Sus%20scrofa
61,9986,Rabbit,Oryctolagus%20cuniculus
61,8022,Rainbow%20trout,Oncorhynchus%20mykiss
61,10114,Rat,Rattus
61,56781,Raven,Corvus%20corax
61,9768,sei%20whale,Balaenoptera%20borealis
61,9940,Sheep,Ovis%20aries
61,37591,Squirrel,Spermophilus%20richardsonii
61,9393,Tree%20shrew,Tupaiidae
61,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
61,9103,Turkey,Meleagris%20gallopavo
61,79684,Vole,Microtus%20ochrogaster
61,391902,Water%20buffalo,Bubalus%20bubalis
55,9556,Baboon,Papio%20cynocephalus
55,447135,Bank%20vole,Clethrionomys%20glareolus
55,9643,Bear,Ursus%20americanus
55,175121,Birds,Passeroidea
55,8032,Brown%20Trout,Salmo%20trutta
55,9901,Buffalo,Bison%20bison
55,9625,Carnivores,Vulpes
